epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,349.781,0.71187,0.43165,0.84742,0.99785,1,0.995,0.84912,0.61129,0.37781,0.8426,0.000812,0.000812,0.000812
62,355.607,0.71236,0.43649,0.86228,0.99947,1,0.995,0.84296,0.62485,0.37916,0.8379,0.0007922,0.0007922,0.0007922
63,361.46,0.70328,0.44076,0.85703,1,0.99931,0.995,0.85821,0.59759,0.36903,0.83362,0.0007724,0.0007724,0.0007724
64,367.272,0.69296,0.43682,0.86952,0.9943,1,0.995,0.85489,0.59981,0.37495,0.83228,0.0007526,0.0007526,0.0007526
65,373.03,0.73115,0.44733,0.84989,0.99907,1,0.995,0.84417,0.62535,0.36893,0.83863,0.0007328,0.0007328,0.0007328
66,378.841,0.69348,0.42784,0.84963,0.9995,1,0.995,0.83922,0.65456,0.37749,0.85259,0.000713,0.000713,0.000713
67,384.95,0.71039,0.44816,0.84946,0.99939,1,0.995,0.85222,0.59578,0.36037,0.83604,0.0006932,0.0006932,0.0006932
68,390.858,0.70209,0.44601,0.8363,0.99878,1,0.995,0.8513,0.63254,0.37593,0.84089,0.0006734,0.0006734,0.0006734
69,396.58,0.7251,0.43629,0.83606,0.99898,1,0.995,0.85897,0.58422,0.35214,0.82877,0.0006536,0.0006536,0.0006536
70,402.354,0.67017,0.42506,0.82911,0.99926,1,0.995,0.86234,0.57608,0.36057,0.82977,0.0006338,0.0006338,0.0006338
71,408.147,0.69652,0.42647,0.83648,0.99908,1,0.995,0.86386,0.59352,0.35353,0.82754,0.000614,0.000614,0.000614
72,413.966,0.66803,0.4106,0.85555,0.99832,1,0.995,0.86926,0.57592,0.34947,0.836,0.0005942,0.0005942,0.0005942
73,419.744,0.6713,0.40518,0.84361,1,0.9947,0.995,0.85428,0.58424,0.34503,0.83044,0.0005744,0.0005744,0.0005744
74,425.455,0.6477,0.40575,0.83311,0.998,1,0.995,0.87794,0.55665,0.34966,0.82526,0.0005546,0.0005546,0.0005546
75,431.309,0.67419,0.41256,0.86029,0.99754,1,0.995,0.85023,0.65696,0.35721,0.8356,0.0005348,0.0005348,0.0005348
76,437.197,0.68962,0.4127,0.85746,1,0.99951,0.995,0.85864,0.58644,0.34564,0.83071,0.000515,0.000515,0.000515
77,442.994,0.73143,0.42217,0.85417,0.99816,1,0.995,0.87029,0.55842,0.3433,0.82813,0.0004952,0.0004952,0.0004952
78,448.727,0.68833,0.40275,0.8535,0.99887,1,0.995,0.87408,0.54014,0.32915,0.82228,0.0004754,0.0004754,0.0004754
79,454.246,0.66512,0.40889,0.84054,0.99936,1,0.995,0.87333,0.55774,0.3384,0.82599,0.0004556,0.0004556,0.0004556
80,459.81,0.7005,0.41637,0.83686,0.99936,1,0.995,0.87175,0.54476,0.32979,0.82421,0.0004358,0.0004358,0.0004358
81,465.261,0.60596,0.38237,0.83648,0.99948,1,0.995,0.88802,0.52922,0.33081,0.81715,0.000416,0.000416,0.000416
82,471.109,0.6388,0.4108,0.81359,0.99945,1,0.995,0.88518,0.5063,0.32999,0.81498,0.0003962,0.0003962,0.0003962
83,477.12,0.63134,0.39786,0.83411,0.99951,1,0.995,0.88382,0.50136,0.32155,0.81417,0.0003764,0.0003764,0.0003764
84,482.923,0.64445,0.39374,0.84471,0.99955,1,0.995,0.89222,0.50311,0.31472,0.81567,0.0003566,0.0003566,0.0003566
85,488.728,0.61118,0.38734,0.82974,0.99957,1,0.995,0.89586,0.47739,0.30899,0.81101,0.0003368,0.0003368,0.0003368
86,494.494,0.59244,0.38676,0.81888,0.99958,1,0.995,0.88631,0.49402,0.31522,0.81234,0.000317,0.000317,0.000317
87,500.355,0.60268,0.3845,0.82787,0.9995,1,0.995,0.89488,0.4886,0.31871,0.81149,0.0002972,0.0002972,0.0002972
88,506.141,0.58988,0.37145,0.81453,0.9994,1,0.995,0.89177,0.48646,0.31096,0.81188,0.0002774,0.0002774,0.0002774
89,511.995,0.59463,0.3732,0.82196,0.99903,1,0.995,0.88742,0.48825,0.30773,0.81118,0.0002576,0.0002576,0.0002576
90,517.786,0.61274,0.38926,0.82967,0.99903,1,0.995,0.88641,0.47657,0.30448,0.80993,0.0002378,0.0002378,0.0002378
91,560.644,0.57913,0.38514,0.82229,0.999,1,0.995,0.8945,0.48113,0.31038,0.81194,0.000218,0.000218,0.000218
92,566.527,0.54134,0.37402,0.81873,0.99918,1,0.995,0.89233,0.47388,0.32059,0.80778,0.0001982,0.0001982,0.0001982
93,572.431,0.57345,0.38315,0.81539,0.99936,1,0.995,0.88709,0.47633,0.31338,0.80943,0.0001784,0.0001784,0.0001784
94,578.191,0.54456,0.36888,0.82216,0.99945,1,0.995,0.89446,0.45794,0.31121,0.80834,0.0001586,0.0001586,0.0001586
95,583.939,0.53531,0.36011,0.81436,0.99946,1,0.995,0.89317,0.45743,0.31252,0.80867,0.0001388,0.0001388,0.0001388
96,589.783,0.54118,0.37095,0.82576,0.9995,1,0.995,0.89702,0.44739,0.31587,0.80776,0.000119,0.000119,0.000119
97,595.581,0.52412,0.35237,0.81632,0.99951,1,0.995,0.90108,0.44469,0.30798,0.80818,9.92e-05,9.92e-05,9.92e-05
98,601.345,0.53211,0.35278,0.8102,0.99953,1,0.995,0.89688,0.44843,0.30579,0.80727,7.94e-05,7.94e-05,7.94e-05
99,607.167,0.50774,0.35981,0.81696,0.99953,1,0.995,0.89766,0.44517,0.30554,0.80593,5.96e-05,5.96e-05,5.96e-05
100,613.078,0.55315,0.36638,0.81476,0.99955,1,0.995,0.89674,0.44491,0.30261,0.80578,3.98e-05,3.98e-05,3.98e-05
